id_proveedor,nombre_comercial,ruc_cedula,tipo_proveedor,ciudad,reclamos_asociados,monto_promedio_reclamado,porcentaje_casos_observados,antiguedad_meses,proveedor_preferente,lista_restrictiva
prov-5526123f,TALLER HIGUERAS,0698235234001,CENTRO DE COLISIÓN,,,,,,False,False
prov-d8cc4eb4,ENDEREZADA MENÉNDEZ,0998408511001,PERITO AUTOMOTRIZ,,,,,,False,False
prov-bae1157f,TALLER SIMÓ,0991584868001,TALLER MECÁNICO,,,,,,False,False
prov-89589486,TALLER TORRALBA,1198480659001,PERITO AUTOMOTRIZ,,,,,,False,False
prov-67084ff8,TALLER RUBIO,0191014556001,CENTRO DE COLISIÓN,,,,,,False,False
prov-e90c55e9,TALLER ROCA,0795470062001,CENTRO DE COLISIÓN,,,,,,False,False
prov-0776898a,TALLER COLISIÓN DEL SUR CIA. LTDA.,1897565434001,TALLER MECÁNICO,,,,,,False,True
prov-b28e0eb3,AUTOCENTRO ARCO,0699232235001,PERITO AUTOMOTRIZ,,,,,,False,False
prov-c1720687,ENDEREZADA FRANCH,0792176077001,TALLER MECÁNICO,,,,,,False,False
prov-7d13740f,TALLER RÁPIDO LA 9 DE OCTUBRE,1797449562001,TALLER MECÁNICO,,,,,,False,False
prov-57a6ab33,AUTOCENTRO CUERVO,0999980912001,PERITO AUTOMOTRIZ,,,,,,False,False
prov-dcd901e4,TALLER LLAMAS,1197721201001,CENTRO DE COLISIÓN,,,,,,False,False
prov-d50cab08,ENDEREZADA CEREZO,0997129645001,PERITO AUTOMOTRIZ,,,,,,False,False
prov-a0a6b95e,AUTOCENTRO ANDRES,0998711468001,CENTRO DE COLISIÓN,,,,,,False,False
prov-c70782ce,ENDEREZADA JORDÁN,1393963163001,TALLER MECÁNICO,,,,,,False,False
prov-e9ff4cf2,AUTOCENTRO LOBATO,0794204501001,CENTRO DE COLISIÓN,,,,,,False,False
prov-5ddd5177,ENDEREZADA ECHEVERRÍA,0792791270001,CENTRO DE COLISIÓN,,,,,,False,False
prov-0aa23277,TALLER ARNAL,1899162175001,CENTRO DE COLISIÓN,,,,,,False,False
prov-7d784f3a,TALLER TORRE,1294178686001,TALLER MECÁNICO,,,,,,False,False
prov-0ac26afb,ENDEREZADA ALLER,1391425547001,CENTRO DE COLISIÓN,,,,,,False,False
prov-9ff54158,AUTOCENTRO BAQUERO,1399207960001,TALLER MECÁNICO,,,,,,False,False
prov-0b906778,AUTOCENTRO BLANES,0696162867001,CENTRO DE COLISIÓN,,,,,,False,False
prov-43287921,TALLER MIR,1291275453001,PERITO AUTOMOTRIZ,,,,,,False,False
prov-026bdcdd,ENDEREZADA MARTÍ,1796665977001,TALLER MECÁNICO,,,,,,False,False
prov-daaaf317,TALLER BARTOLOMÉ,0792982850001,CENTRO DE COLISIÓN,,,,,,False,False
prov-e093cb82,ENDEREZADA RAMÍREZ,0698690178001,CENTRO DE COLISIÓN,,,,,,False,False
prov-1f044dba,TALLER PARRA,0194908850001,TALLER MECÁNICO,,,,,,False,False
prov-48386eb3,ENDEREZADA BOSCH,0199202292001,TALLER MECÁNICO,,,,,,False,False
prov-4f575400,TALLER PUENTE,1291768424001,CENTRO DE COLISIÓN,,,,,,False,False
prov-b72e8592,TALLER CHECA,0191241008001,CENTRO DE COLISIÓN,,,,,,False,False
prov-1827e2a3,TALLER GUZMAN,1796156264001,PERITO AUTOMOTRIZ,,,,,,False,False
prov-b6b79676,TALLER COLISIÓN DEL SUR CIA. LTDA.,0192073030001,TALLER MECÁNICO,,,,,,False,False
prov-7e95704f,ENDEREZADA CAPARRÓS,0999340683001,CENTRO DE COLISIÓN,,,,,,False,False
prov-d3fcaebd,TALLER VALL,1392058811001,PERITO AUTOMOTRIZ,,,,,,False,False
prov-d14b04f5,AUTOCENTRO CARRILLO,1897744585001,TALLER MECÁNICO,,,,,,False,False
prov-3b49193b,AUTOCENTRO VÉLEZ,0693304005001,TALLER MECÁNICO,,,,,,False,False
prov-101c01bc,AUTOCENTRO ZAPATA,1793909968001,TALLER MECÁNICO,,,,,,False,False
prov-4fff042a,TALLER INFANTE,0995595168001,PERITO AUTOMOTRIZ,,,,,,False,False
prov-cbe4b286,ENDEREZADA VALDERRAMA,0197206350001,TALLER MECÁNICO,,,,,,False,False
prov-249f3d32,ENDEREZADA BOSCH,1295087678001,TALLER MECÁNICO,,,,,,False,False
prov-5184cb01,ENDEREZADA GÁRATE,0192677182001,CENTRO DE COLISIÓN,,,,,,False,False
prov-b0d3cc8d,TALLER COLISIÓN DEL SUR CIA. LTDA.,0793646667001,TALLER MECÁNICO,,,,,,False,False
prov-cd675ee2,TALLER CARVAJAL,1292354300001,TALLER MECÁNICO,,,,,,False,False
prov-f079cfd7,ENDEREZADA MILLÁN,0192495541001,CENTRO DE COLISIÓN,,,,,,False,False
prov-ea7fe3bc,ENDEREZADA MUR,1197983050001,PERITO AUTOMOTRIZ,,,,,,False,False
prov-013f1a2d,TALLER PORTA,0194458794001,CENTRO DE COLISIÓN,,,,,,False,False
prov-d0f96c49,AUTOCENTRO GUZMAN,1199775941001,PERITO AUTOMOTRIZ,,,,,,False,False
prov-4a51b585,ENDEREZADA ROCHA,1393928445001,CENTRO DE COLISIÓN,,,,,,False,False
prov-24e38d8f,ENDEREZADA GIBERT,1794019906001,PERITO AUTOMOTRIZ,,,,,,False,False
prov-b845ba48,AUTOCENTRO COBOS,0996053293001,PERITO AUTOMOTRIZ,,,,,,False,False
